,place,date,high temp,low temp,precipitation
45,"Arlington, VA",2024-02-15,45.68,30.22,0.0
46,"Arlington, VA",2024-02-16,61.18,34.34,0.0
47,"Arlington, VA",2024-02-17,62.11,46.71,0.0
48,"Arlington, VA",2024-02-18,43.93,25.65,0.44
49,"Arlington, VA",2024-02-19,31.77,23.14,0.26
50,"Arlington, VA",2024-02-20,35.69,25.88,0.0
51,"Arlington, VA",2024-02-21,34.56,26.33,0.0
52,"Arlington, VA",2024-02-22,34.93,26.73,0.0
53,"Arlington, VA",2024-02-23,36.79,25.59,0.0
54,"Arlington, VA",2024-02-24,38.46,26.98,0.0
55,"Arlington, VA",2024-02-25,40.59,29.98,0.0
56,"Arlington, VA",2024-02-26,41.34,30.49,0.0
57,"Arlington, VA",2024-02-27,44.24,30.43,0.0
58,"Arlington, VA",2024-02-28,45.07,31.69,0.0
59,"Arlington, VA",2024-02-29,43.38,33.06,0.0
60,"Arlington, VA",2024-03-01,43.11,33.04,0.0
61,"Arlington, VA",2024-03-02,43.75,33.6,1.41
62,"Arlington, VA",2024-03-03,44.4,34.79,3.65
63,"Arlington, VA",2024-03-04,47.12,33.93,0.0
64,"Arlington, VA",2024-03-05,48.27,33.19,0.0
65,"Arlington, VA",2024-03-06,50.47,36.48,0.0
66,"Arlington, VA",2024-03-07,50.79,38.5,0.0
67,"Arlington, VA",2024-03-08,52.29,37.63,0.0
68,"Arlington, VA",2024-03-09,56.79,39.04,0.0
69,"Arlington, VA",2024-03-10,59.09,40.5,0.0
70,"Arlington, VA",2024-03-11,60.69,41.31,0.0
71,"Arlington, VA",2024-03-12,61.61,44.87,0.0
72,"Arlington, VA",2024-03-13,60.15,42.94,0.0
73,"Arlington, VA",2024-03-14,59.05,41.97,0.0
74,"Arlington, VA",2024-03-15,56.73,40.71,0.0
75,"Arlington, VA",2024-03-16,54.72,39.25,0.0
76,"Arlington, VA",2024-03-17,52.75,37.06,0.0
77,"Arlington, VA",2024-03-18,56.43,38.82,0.0
78,"Arlington, VA",2024-03-19,62.15,41.34,0.0
79,"Arlington, VA",2024-03-20,65.71,48.2,0.0
80,"Arlington, VA",2024-03-21,71.42,50.85,0.0
81,"Arlington, VA",2024-03-22,65.43,54.12,0.0
82,"Arlington, VA",2024-03-23,67.87,49.59,0.0
83,"Arlington, VA",2024-03-24,64.47,54.07,2.02
84,"Arlington, VA",2024-03-25,70.86,49.71,0.0
85,"Arlington, VA",2024-03-26,70.09,50.27,0.0
86,"Arlington, VA",2024-03-27,72.5,52.36,0.0
87,"Arlington, VA",2024-03-28,73.63,56.62,0.0
88,"Arlington, VA",2024-03-29,73.02,59.65,0.0
89,"Arlington, VA",2024-03-30,73.89,55.29,0.0
90,"Arlington, VA",2024-03-31,67.8,55.49,0.0
91,"Arlington, VA",2024-04-01,64.72,45.48,0.0
92,"Arlington, VA",2024-04-02,61.48,43.3,0.0
93,"Arlington, VA",2024-04-03,64.71,50.11,0.0
94,"Arlington, VA",2024-04-04,67.64,49.93,0.0
95,"Arlington, VA",2024-04-05,71.44,54.37,0.0
96,"Arlington, VA",2024-04-06,69.96,52.27,0.0
97,"Arlington, VA",2024-04-07,73.2,53.69,0.0
98,"Arlington, VA",2024-04-08,70.99,50.79,0.0
99,"Arlington, VA",2024-04-09,73.02,53.11,0.0
100,"Arlington, VA",2024-04-10,78.37,57.81,0.0
101,"Arlington, VA",2024-04-11,77.04,58.8,0.0
102,"Arlington, VA",2024-04-12,81.14,58.51,0.0
103,"Arlington, VA",2024-04-13,82.26,61.47,0.0
104,"Arlington, VA",2024-04-14,79.34,63.03,0.0
105,"Arlington, VA",2024-04-15,76.66,60.08,0.0
106,"Arlington, VA",2024-04-16,76.44,59.38,0.0
107,"Arlington, VA",2024-04-17,78.08,59.47,0.0
108,"Arlington, VA",2024-04-18,74.73,61.54,0.0
109,"Arlington, VA",2024-04-19,76.24,62.55,0.55
110,"Arlington, VA",2024-04-20,75.97,60.22,0.0
111,"Arlington, VA",2024-04-21,80.26,60.26,0.0
112,"Arlington, VA",2024-04-22,82.0,65.07,0.0
113,"Arlington, VA",2024-04-23,81.28,62.15,0.0
114,"Arlington, VA",2024-04-24,84.83,65.64,0.0
115,"Arlington, VA",2024-04-25,85.57,62.44,0.0
116,"Arlington, VA",2024-04-26,86.59,66.13,0.0
117,"Arlington, VA",2024-04-27,75.02,63.32,0.0
118,"New York, NY",2024-01-01,34.29,15.94,0.0
119,"New York, NY",2024-01-02,33.49,18.34,0.0
120,"New York, NY",2024-01-03,35.15,21.56,0.0
121,"New York, NY",2024-01-04,34.92,19.99,0.0
122,"New York, NY",2024-01-05,35.22,20.95,0.0
123,"New York, NY",2024-01-06,34.11,21.69,0.51
124,"New York, NY",2024-01-07,37.62,22.14,0.18
125,"New York, NY",2024-01-08,32.65,17.53,0.0
126,"New York, NY",2024-01-09,35.89,17.13,0.0
127,"New York, NY",2024-01-10,37.13,24.06,0.0
128,"New York, NY",2024-01-11,38.77,22.55,5.93
129,"New York, NY",2024-01-12,35.64,29.32,10.75
130,"New York, NY",2024-01-13,38.08,26.71,0.15
131,"New York, NY",2024-01-14,37.71,21.43,0.92
132,"New York, NY",2024-01-15,34.74,23.81,6.87
133,"New York, NY",2024-01-16,34.86,25.97,8.29
134,"New York, NY",2024-01-17,31.3,15.22,6.0
135,"New York, NY",2024-01-18,31.66,13.14,0.0
136,"New York, NY",2024-01-19,30.87,13.62,0.0
137,"New York, NY",2024-01-20,30.0,11.55,0.0
138,"New York, NY",2024-01-21,31.26,14.34,0.0
139,"New York, NY",2024-01-22,33.28,11.71,0.0
140,"New York, NY",2024-01-23,32.0,13.64,0.0
141,"New York, NY",2024-01-24,33.49,14.58,0.0
142,"New York, NY",2024-01-25,32.22,17.74,0.0
143,"New York, NY",2024-01-26,29.88,14.04,1.36
144,"New York, NY",2024-01-27,34.12,15.33,0.0
145,"New York, NY",2024-01-28,36.59,25.14,0.0
146,"New York, NY",2024-01-29,35.24,22.91,10.59
147,"New York, NY",2024-01-30,29.14,15.94,3.85
148,"New York, NY",2024-01-31,22.26,4.96,0.68
149,"New York, NY",2024-02-01,19.08,1.29,0.0
150,"New York, NY",2024-02-02,20.88,1.67,0.0
151,"New York, NY",2024-02-03,31.12,6.15,0.0
152,"New York, NY",2024-02-04,26.76,10.87,0.0
153,"New York, NY",2024-02-05,29.64,9.68,0.0
154,"New York, NY",2024-02-06,29.8,12.96,0.0
155,"New York, NY",2024-02-07,31.42,12.67,0.0
156,"New York, NY",2024-02-08,32.65,18.25,0.26
157,"New York, NY",2024-02-09,36.79,18.68,0.0
158,"New York, NY",2024-02-10,38.68,17.31,0.0
159,"New York, NY",2024-02-11,36.64,18.19,0.0
160,"New York, NY",2024-02-12,35.38,17.33,0.11
161,"New York, NY",2024-02-13,35.83,20.97,0.47
162,"New York, NY",2024-02-14,39.51,19.17,0.0
163,"New York, NY",2024-02-15,42.62,24.22,0.0
164,"New York, NY",2024-02-16,34.72,30.69,41.66
165,"New York, NY",2024-02-17,31.42,25.54,19.05
166,"New York, NY",2024-02-18,33.28,21.76,6.57
167,"New York, NY",2024-02-19,27.63,16.92,8.63
168,"New York, NY",2024-02-20,21.47,6.03,1.26
169,"New York, NY",2024-02-21,23.95,2.41,0.0
170,"New York, NY",2024-02-22,23.99,7.38,0.0
171,"New York, NY",2024-02-23,24.46,6.94,0.13
172,"New York, NY",2024-02-24,25.47,15.12,5.38
173,"New York, NY",2024-02-25,27.73,15.46,1.23
174,"New York, NY",2024-02-26,32.09,16.57,0.0
175,"New York, NY",2024-02-27,32.18,18.97,0.74
176,"New York, NY",2024-02-28,35.98,20.86,0.59
177,"New York, NY",2024-02-29,37.09,22.37,0.0
178,"New York, NY",2024-03-01,35.92,17.4,0.0
179,"New York, NY",2024-03-02,24.78,12.04,0.83
180,"New York, NY",2024-03-03,20.16,12.43,2.1
181,"New York, NY",2024-03-04,27.21,8.31,0.0
182,"New York, NY",2024-03-05,34.3,8.98,0.0
183,"New York, NY",2024-03-06,35.2,14.63,0.0
184,"New York, NY",2024-03-07,32.2,15.48,0.29
185,"New York, NY",2024-03-08,35.51,18.95,0.0
186,"New York, NY",2024-03-09,40.89,18.43,0.0
187,"New York, NY",2024-03-10,38.61,25.21,1.22
188,"New York, NY",2024-03-11,39.43,25.92,0.0
189,"New York, NY",2024-03-12,42.93,25.41,0.39
190,"New York, NY",2024-03-13,30.65,13.06,6.7
191,"New York, NY",2024-03-14,26.08,6.24,4.64
192,"New York, NY",2024-03-15,30.81,7.83,1.61
193,"New York, NY",2024-03-16,35.37,8.78,0.0
194,"New York, NY",2024-03-17,40.37,16.77,0.0
195,"New York, NY",2024-03-18,42.53,20.68,0.0
196,"New York, NY",2024-03-19,43.54,25.97,0.0
197,"New York, NY",2024-03-20,46.81,36.45,0.0
198,"New York, NY",2024-03-21,42.13,36.43,6.08
199,"New York, NY",2024-03-22,39.74,29.46,1.48
200,"New York, NY",2024-03-23,42.98,26.71,0.0
201,"New York, NY",2024-03-24,42.4,33.1,0.0
202,"New York, NY",2024-03-25,45.97,32.27,0.0
203,"New York, NY",2024-03-26,50.05,34.18,0.0
204,"New York, NY",2024-03-27,49.24,37.9,0.27
205,"New York, NY",2024-03-28,51.15,39.63,0.29
206,"New York, NY",2024-03-29,48.72,40.84,0.0
207,"New York, NY",2024-03-30,39.83,27.18,2.85
208,"New York, NY",2024-03-31,35.31,21.7,1.16
209,"New York, NY",2024-04-01,41.58,21.31,0.0
210,"New York, NY",2024-04-02,43.05,27.09,0.0
211,"New York, NY",2024-04-03,41.45,29.32,0.57
212,"New York, NY",2024-04-04,46.06,30.79,0.0
213,"New York, NY",2024-04-05,44.58,35.76,0.0
214,"New York, NY",2024-04-06,47.3,35.29,1.37
215,"New York, NY",2024-04-07,44.44,28.09,0.19
216,"New York, NY",2024-04-08,51.24,32.86,0.0
217,"New York, NY",2024-04-09,49.06,37.9,0.19
218,"New York, NY",2024-04-10,47.73,33.51,0.0
219,"New York, NY",2024-04-11,53.1,36.59,0.0
220,"New York, NY",2024-04-12,53.55,42.46,0.0
221,"New York, NY",2024-04-13,52.16,43.25,14.41
222,"New York, NY",2024-04-14,54.05,44.1,8.33
223,"New York, NY",2024-04-15,56.95,45.16,0.19
224,"New York, NY",2024-04-16,45.32,38.64,12.82
225,"New York, NY",2024-04-17,47.8,30.58,0.0
226,"New York, NY",2024-04-18,53.31,36.37,0.0
227,"New York, NY",2024-04-19,59.13,43.74,0.0
228,"New York, NY",2024-04-20,59.86,44.74,2.56
229,"New York, NY",2024-04-21,58.55,45.86,4.46
230,"New York, NY",2024-04-22,57.81,46.49,0.12
231,"New York, NY",2024-04-23,52.27,43.18,0.2
232,"New York, NY",2024-04-24,54.23,41.32,0.0
233,"New York, NY",2024-04-25,58.03,43.84,6.16
234,"New York, NY",2024-04-26,47.98,40.48,1.66
235,"New York, NY",2024-04-27,48.18,37.29,0.1
